application_id,sla_breached,delay_reason,rework_required,escalation_flag,quality_flag
APP0001,Y,Peak_Volume,N,Y,Red
APP0002,N,None,N,N,Green
APP0003,N,None,N,N,Green
APP0004,Y,ThirdParty_System_Issue,Y,Y,Red
APP0005,Y,Background_Check_Delay,Y,N,Amber
APP0006,N,None,N,N,Green
APP0007,N,Pending_Documents,Y,N,Amber
APP0008,Y,Background_Check_Delay,Y,Y,Red
APP0009,N,None,N,N,Green
APP0010,Y,Background_Check_Delay,Y,Y,Red
APP0011,Y,Peak_Volume,N,N,Amber
APP0012,Y,Peak_Volume,N,N,Amber
APP0013,Y,Peak_Volume,N,Y,Red
APP0014,N,None,N,N,Green
APP0015,Y,Peak_Volume,N,N,Amber
APP0016,Y,Background_Check_Delay,Y,Y,Red
APP0017,Y,Background_Check_Delay,Y,N,Amber
APP0018,Y,Peak_Volume,N,Y,Red
APP0019,Y,Peak_Volume,N,Y,Red
APP0020,Y,Peak_Volume,N,N,Amber
APP0021,Y,Peak_Volume,N,Y,Red
APP0022,N,None,N,N,Green
APP0023,N,None,N,N,Green
APP0024,Y,Peak_Volume,N,N,Amber
APP0025,N,None,N,N,Green
APP0026,Y,Peak_Volume,N,Y,Red
APP0027,Y,Peak_Volume,N,N,Amber
APP0028,N,None,N,N,Green
APP0029,N,Pending_Documents,Y,N,Amber
APP0030,Y,Peak_Volume,N,N,Amber
APP0031,Y,Peak_Volume,N,Y,Red
APP0032,Y,ThirdParty_System_Issue,Y,Y,Red
APP0033,Y,Peak_Volume,N,N,Amber
APP0034,Y,Peak_Volume,N,N,Amber
APP0035,Y,Peak_Volume,N,N,Amber
APP0036,Y,Peak_Volume,N,Y,Red
APP0037,N,None,N,N,Green
APP0038,Y,Peak_Volume,N,N,Amber
APP0039,Y,Peak_Volume,N,N,Amber
APP0040,N,None,N,N,Green
APP0041,Y,Peak_Volume,N,N,Amber
APP0042,Y,Peak_Volume,N,N,Amber
APP0043,Y,Peak_Volume,N,N,Amber
APP0044,N,None,N,N,Green
APP0045,Y,Peak_Volume,N,N,Amber
APP0046,Y,Peak_Volume,N,N,Amber
APP0047,Y,Peak_Volume,N,N,Amber
APP0048,Y,Peak_Volume,N,N,Amber
APP0049,Y,Background_Check_Delay,Y,Y,Red
APP0050,Y,Peak_Volume,N,N,Amber
APP0051,Y,Peak_Volume,N,N,Amber
APP0052,Y,ThirdParty_System_Issue,Y,Y,Red
APP0053,Y,Peak_Volume,N,N,Amber
APP0054,Y,Peak_Volume,N,N,Amber
APP0055,Y,Peak_Volume,N,N,Amber
APP0056,Y,Peak_Volume,N,N,Amber
APP0057,N,None,N,N,Green
APP0058,Y,Peak_Volume,N,N,Amber
APP0059,Y,Peak_Volume,N,N,Amber
APP0060,N,None,N,N,Green
APP0061,Y,Peak_Volume,N,N,Amber
APP0062,N,None,N,N,Green
APP0063,N,None,N,N,Green
APP0064,Y,Peak_Volume,N,N,Amber
APP0065,N,None,N,N,Green
APP0066,Y,Peak_Volume,N,N,Amber
APP0067,N,None,N,N,Green
APP0068,Y,Peak_Volume,N,N,Amber
APP0069,Y,ThirdParty_System_Issue,Y,N,Amber
APP0070,N,None,N,N,Green
APP0071,Y,Peak_Volume,N,N,Amber
APP0072,Y,ThirdParty_System_Issue,Y,N,Amber
APP0073,Y,Peak_Volume,N,N,Amber
APP0074,N,None,N,N,Green
APP0075,Y,Peak_Volume,N,N,Amber
APP0076,Y,Peak_Volume,N,Y,Red
APP0077,N,None,N,N,Green
APP0078,Y,Peak_Volume,N,N,Amber
APP0079,Y,Peak_Volume,N,N,Amber
APP0080,N,None,N,N,Green
APP0081,Y,Peak_Volume,N,N,Amber
APP0082,N,None,N,N,Green
APP0083,N,None,N,N,Green
APP0084,Y,Peak_Volume,N,N,Amber
APP0085,Y,Peak_Volume,N,N,Amber
APP0086,Y,Peak_Volume,N,N,Amber
APP0087,Y,Peak_Volume,N,N,Amber
APP0088,Y,Peak_Volume,N,N,Amber
APP0089,N,Pending_Documents,Y,N,Amber
APP0090,N,None,N,N,Green
APP0091,Y,Peak_Volume,N,N,Amber
APP0092,Y,ThirdParty_System_Issue,Y,Y,Red
APP0093,Y,Peak_Volume,N,N,Amber
APP0094,Y,Peak_Volume,N,N,Amber
APP0095,Y,Peak_Volume,N,N,Amber
APP0096,Y,Peak_Volume,N,N,Amber
APP0097,N,None,N,N,Green
APP0098	Y,Peak_Volume,N,N,Amber
APP0099	Y,Peak_Volume,N,N,Amber
APP0100	N,None,N,N,Green
APP0101	Y,Peak_Volume,N,N,Amber
APP0102	N,None,N,N,Green
APP0103	N,None,N,N,Green
APP0104	Y,Peak_Volume,N,N,Amber
APP0105	Y,Peak_Volume,N,N,Amber
APP0106	Y,Peak_Volume,N,N,Amber
APP0107	N,None,N,N,Green
APP0108	Y,Peak_Volume,N,N,Amber
APP0109	Y,ThirdParty_System_Issue,Y,Y,Red
APP0110	N,None,N,N,Green
APP0111	Y,Peak_Volume,N,N,Amber
APP0112	Y,ThirdParty_System_Issue,Y,N,Amber
APP0113	Y,Peak_Volume,N,N,Amber
APP0114	N,None,N,N,Green
APP0115	Y,Peak_Volume,N,N,Amber
APP0116	Y,Peak_Volume	N,Y,Red
APP0117	N,None,N,N,Green
APP0118	Y,Peak_Volume,N,N,Amber
APP0119	Y,Peak_Volume,N,N,Amber
APP0120	N,None,N,N,Green
APP0121	Y,Peak_Volume,N,N,Amber
APP0122	Y,Peak_Volume,N,N,Amber
APP0123	Y,Peak_Volume,N,N,Amber
APP0124	Y,Peak_Volume,N,N,Amber
APP0125	Y,Peak_Volume,N,N,Amber
APP0126	Y,Peak_Volume,N,N,Amber
APP0127	N,None,N,N,Green
APP0128	Y,Peak_Volume,N,N,Amber
APP0129	Y,ThirdParty_System_Issue,Y,N,Amber
APP0130	N,None	N,N,Green
APP0131	Y,Peak_Volume,N,N,Amber
APP0132	Y,ThirdParty_System_Issue,Y,N,Amber
APP0133	Y,Peak_Volume,N,N,Amber
APP0134	N,None,N,N,Green
APP0135	Y,Peak_Volume,N,N,Amber
APP0136	Y,Peak_Volume,N,N,Amber
APP0137	N,None,N,N,Green
APP0138	Y,Peak_Volume,N,N,Amber
APP0139	Y,Peak_Volume,N,N,Amber
APP0140	N,None,N,N,Green
APP0141	Y,Peak_Volume,N,N,Amber
APP0142	N,None,N,N,Green
APP0143	N,None,N,N,Green
APP0144	Y,Peak_Volume,N,N,Amber
APP0145	Y,Peak_Volume,N,N,Amber
APP0146	Y,Peak_Volume,N,N,Amber
APP0147	Y,Peak_Volume,N,N,Amber
APP0148	Y,Peak_Volume,N,N,Amber
APP0149	Y,Background_Check_Delay,Y,Y,Red
APP0150	N,None,N,N,Green
